model,dataset,wer,cer,time,memory,baseline_wer,relative_wer_improvement_%,baseline_cer,relative_cer_improvement_%
wav2vec2-base,CommonVoice2,0.19587212787212788,0.06606686824443674,1.1106851482391358,7.407578125,0.19587212787212788,0.0,0.06606686824443674,0.0
wav2vec2-base,LJSpeech,0.06677344550873962,0.03251975199487715,1.224818663597107,-0.281796875,0.06677344550873962,0.0,0.03251975199487715,0.0
wav2vec2-small,CommonVoice2,0.2885675435675436,0.09837820562771034,1.018643159866333,9.9809375,0.19587212787212788,-47.32445432763692,0.06606686824443674,-48.907021388885696
wav2vec2-small,LJSpeech,0.09596608413945874,0.04234188516437639,1.2101077508926392,0.68609375,0.06677344550873962,-43.718934088698866,0.03251975199487715,-30.20359186947834
whisper-small,CommonVoice2,0.5730915750915752,0.3485281990506671,12.762339086532593,12.237890625,0.19587212787212788,-192.5845454978205,0.06606686824443674,-427.5385504291942
whisper-small,LJSpeech,0.03511895294248236,0.011492510963281745,20.880182886123656,0.133359375,0.06677344550873962,47.40580978723672,0.03251975199487715,64.6599058778426
xlsr-english,CommonVoice2,0.08950854700854702,0.027822821856040812,1.989090747833252,23.101328125,0.19587212787212788,54.3025605628886,0.06606686824443674,57.886876439941325
xlsr-english,LJSpeech,0.06806772747002926,0.034103148611844845,2.3813570070266725,1.191796875,0.06677344550873962,-1.9383183710659946,0.03251975199487715,-4.869030419472842
